UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
 ;PHYSICAL REVIEW B;FERMI SURFACE INVESTIGATION OF THE SEMIMETAL TAAS2;SHEIKIN, I;" UGA, CNRS, LNCMI EMFL, F-38042 GRENOBLE, FRANCE.; ";
 ;APPLIED PHYSICS LETTERS;MAGNETO-SPECTROSCOPY OF EXCITON RYDBERG STATES IN A CVD GROWN WSE2 MONOLAYER;"DELHOMME, A.;; FAUGERAS, C.;";" UPS, UJF, CNRS, LNCMI,INSA, BP 166, F-38042 GRENOBLE 9, FRANCE.; ";
 ;PHYSICAL REVIEW MATERIALS;DYNAMICS AND FIELD-INDUCED ORDER IN THE LAYERED SPIN S=1/2 DIMER SYSTEM (C5H6 N2F)(2) CUCL4;"HORVATIC, M.;";" UPS, LNCMI CNRS UPR3228, EMFL,UGA, BOITE POSTALE 166, F-38042 GRENOBLE 9, FRANCE.; ";
 ;IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY;CONSTRUCTION AND TEST OF A 7 T METAL-AS-INSULATION HTS INSERT UNDER A 20 T HIGH BACKGROUND MAGNETIC FIELD AT 4.2 K;"SONG, JUNG-BIN; CHAUD, XAVIER; BORGNIC, BENJAMIN; DEBRAY, FRANCOIS";" UPS, INSA, CNRS, EMFL,LNCMI,UGA, F-38042 GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;OSQAR CHAMELEON AFTERGLOW SEARCH EXPERIMENT;"PUGNAT, P.;";" CNRS, LNCMI, GRENOBLE, FRANCE.; ";
 ;PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS;A MAGNETO-REFLECTIVITY STUDY OF CUINTE2 SINGLE CRYSTALS;FAUGERAS, CLEMENT;" UJF, LNCMI CNRS, UPS, INSA, BP 166, F-38042 GRENOBLE 9, FRANCE.; ";
 ;PHYSICAL REVIEW B;FERMI SURFACE INVESTIGATION OF THE FILLED SKUTTERUDITE LARU4AS12;SHEIKIN, I;" UGA, CNRS, EMFL, LNCMI, F-38042 GRENOBLE, FRANCE.;";
 ;2D MATERIALS;NON EQUILIBRIUM ANISOTROPIC EXCITONS IN ATOMICALLY THIN RES2;"URBAN, J.; M.;; BARANOWSKI, M.;; SURRENTE, A.;; MAUDE, D.; K.;; PLOCHOCKA, P.;";" CNRS UGA UPS INSA, UPR 3228, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;INORGANIC CHEMISTRY;EFFECTS OF THE EXCHANGE COUPLING ON DYNAMIC PROPERTIES IN A SERIES OF COGDCO COMPLEXES;NOVITCHI, GHENADIE;" UPR CNRS 3228, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS,BP 166, F-38042 GRENOBLE 9, FRANCE.; ";
 ;NANOTECHNOLOGY;THE IMPACT OF HEXAGONAL BORON NITRIDE ENCAPSULATION ON THE STRUCTURAL AND VIBRATIONAL PROPERTIES OF FEW LAYER BLACK PHOSPHORUS;"URBAN, JOANNA; BARANOWSKI, MICHAL; MAUDE, DUNCAN K.;; PLOCHOCKA, PAULINE";" CNRS UGA UPS INSA, UPR 3228, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;COMPTES RENDUS CHIMIE;DIALKYL-SUBSTITUTED MONOAMIDINIUM-TEMPLATED OXALATE-BASED NONCENTROSYMMETRIC 2D COMPOUNDS;"MAXIM, CATALIN; TRAIN, CYRILLE";" UPR CNRS 3228, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS,BP 166, F-38042 GRENOBLE 9, FRANCE.; ";
 ;PHYSICAL REVIEW B;STRONG ELECTRICAL MAGNETOCHIRAL ANISOTROPY IN TELLURIUM;"RIKKEN, G.; L.; J.; A.;";" UPR 3228 CNRS EMFL INSA UGA UPS, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MATERIALS CHEMISTRY C;REVEALING THE NATURE OF PHOTOLUMINESCENCE EMISSION IN THE METAL-HALIDE DOUBLE PEROVSKITE CS2AGBIBR6;"ZELEWSKI, S.; J.;; URBAN, J.; M.;; SURRENTE, A.;; MAUDE, D.; K.;; PLOCHOCKA, P.;; BARANOWSKI, M.;";" CNRS UGA UPS INSA, UPR 3228, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;THE SECOND QUANTUM REVOLUTION: ROLE AND CHALLENGES OF MOLECULAR CHEMISTRY;ATZORI, MATTEO;" CNRS, UPR 3228, LAB NATL CHAMPS MAGNET INTENSES, F-38042 GRENOBLE, FRANCE.; ";
 ;ACS ENERGY LETTERS;PHASE-TRANSITION-INDUCED CARRIER MASS ENHANCEMENT IN 2D RUDDLESDEN-POPPER PEROVSKITES;"BARANOWSKI, MICHAL; ZELEWSKI, SZYMON J.;; URBAN, JOANNA M.;; SURRENTE, ALESSANDRO; GALKOWSKI, KRZYSZTOF; MAUDE, DUNCAN K.;; PLOCHOCKA, PAULINA";" CNRS UGA UPS INSA, LAB NATL CHAMPS MAGNET INTENSES, UPR 3228, GRENOBLE, FRANCE.; ";
 ;ADVANCED OPTICAL MATERIALS;NEGATIVE THERMAL QUENCHING OF EFFICIENT WHITE-LIGHT EMISSION IN A 1D LADDER-LIKE ORGANIC/INORGANIC HYBRID MATERIAL;"ZELEWSKI, SZYMON; URBAN, JOANNA; BARANOWSKI, MICHAL; PLOCHOCKA, PAULINA";" UPS, LAB NATL CHAMPS MAGNET INTENSES, CNRS, UGA,INSA,UPR 3228, F-38042 GRENOBLE, FRANCE.; ";
 ;INTERNATIONAL JOURNAL OF PLASTICITY;MULTISCALE MODELING OF THE ELASTO-PLASTIC BEHAVIOR OF ARCHITECTURED AND NANOSTRUCTURED CU-NB COMPOSITE WIRES AND COMPARISON WITH NEUTRON DIFFRACTION EXPERIMENTS;"LECOUTURIER-DUPOUY, F.;";" UPS, CNRS, LAB NATL CHAMPS MAGNET INTENSES, INSA,UGA,EMFL,UPR 3228, GRENOBLE, FRANCE.; ";
 ;APPLIED PHYSICS EXPRESS;FEATURES OF CARRIER CONFINEMENT IN INASSB(P) ALLOYS AND QUANTUM WELLS FOR ROOM-TEMPERATURE OPERATING MID-INFRARED EMITTERS;DYKSIK, MATEUSZ;" CNRS UGA UPS INSA, UPR 3228, LABO NATL CHAMPS MAGNET INTENSES, F-38042 GRENOBLE, FRANCE.;";
 ;2D MATERIALS;ZEEMAN SPECTROSCOPY OF EXCITONS AND HYBRIDIZATION OF ELECTRONIC STATES IN FEW-LAYER WSE2, MOSE2 AND MOTE2;"ARORA, ASHISH; KOPERSKI, MACIEJ; SLOBODENIUK, ARTUR; NOGAJEWSKI, KAROL; MOLAS, MACIEJ R.;; POTEMSKI, MAREK";" UGA, CNRS, LAB NATL CHAMPS MAGNET INTENSES, UPS,INSA,EMFL, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;2D MATERIALS;ORBITAL, SPIN AND VALLEY CONTRIBUTIONS TO ZEEMAN SPLITTING OF EXCITONIC RESONANCES IN MOSE2,WSE2 AND WS2 MONOLAYERS;"KOPERSKI, MACIEJ; MOLAS, MACIEJ R.;; ARORA, ASHISH; NOGAJEWSKI, KAROL; BARTOS, MIROSLAV; WYZULA, JAN; VACLAVKOVA, DIANA; POTEMSKI, MAREK";" INSA, UPS, UJF, CNRS,LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;ADVANCED FUNCTIONAL MATERIALS;PHOTOQUANTUM HALL EFFECT AND LIGHT-INDUCED CHARGE TRANSFER AT THE INTERFACE OF GRAPHENE/INSE HETEROSTRUCTURES;"PIOT, BENJAMIN A.;; LOBANOVA, INNA I.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;NEW JOURNAL OF CHEMISTRY;INVESTIGATION OF THE CYTOTOXIC POTENTIAL OF METHYL IMIDAZOLE-DERIVED THIOSEMICARBAZONES AND THEIR COPPER(II) COMPLEXES WITH DICHLOROACETATE AS A CO-LIGAND;NOVITCHI, GHENADIE;" CNRS, LAB NATL CHAMPS MAGNET INTENSES, 25 AVE MARTYRS, F-38042 GRENOBLE 9, FRANCE.; ";
 ;CHEMISTRY-A EUROPEAN JOURNAL;SPECTROSCOPIC DETERMINATION OF THE ELECTRONIC STRUCTURE OF A URANIUM SINGLE-ION MAGNET;"CRASSEE, IRIS; ORLITA, MILAN";" UPS, LAB NATL CHAMPS MAGNET INTENSES, CNRS, UGA,INSA,EMFL, 25 AVE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;JETP LETTERS;MAGNETOABSORPTION IN HGCDTE/CDHGTE QUANTUM WELLS IN TILTED MAGNETIC FIELDS;"BOVKUN, L.; S.;; ORLITA, M.;; POTEMSKI, M.;; PIOT, B.; A.;";" CNRS UGA EMFL UPS INSA, LAB NATL CHAMPS MAGNET INTENSES, FR-38042 GRENOBLE, FRANCE.; ";
 ;SCIENTIFIC REPORTS;TUNING CARRIER CONCENTRATION IN A SUPERACID TREATED MOS2 MONOLAYER;"MOLAS, MACIEJ R.;; BALA, LUKASZ; NOGAJEWSKI, KAROL; POTEMSKI, MAREK";" CNRS, LAB NATL CHAMPS MAGNET INTENSES, UGA, UPS,INSA,EMFL, 25 AVE MARTYRS, F-38042 GRENOBLE, FRANCE.;";
 ;2D MATERIALS;FINE STRUCTURE OF K-EXCITONS IN MULTILAYERS OF TRANSITION METAL DICHALCOGENIDES;"SLOBODENIUK, A.; O.;; BALA, L.;; KOPERSKI, M.;; MOLAS, M.; R.;; NOGAJEWSKI, K.;; BARTOS, M.;; FAUGERAS, C.;; POTEMSKI, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 AVE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;NANOSCALE;VALLEY POLARIZATION OF EXCITON-POLARITONS IN MONOLAYER WSE2 IN A TUNABLE MICROCAVITY;"NOGAJEWSKI, KAROL; MOLAS, MACIEJ R.;; POTEMSKI, MAREK";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.;";
 ;NATURE COMMUNICATIONS;UPCONVERTED ELECTROLUMINESCENCE VIA AUGER SCATTERING OF INTERLAYER EXCITONS IN VAN DER WAALS HETEROSTRUCTURES;"BINDER, J.;; MOLAS, M.; R.;; FAUGERAS, C.;; POTEMSKI, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;NANOSCALE;THE LIFETIME OF INTERLAYER BREATHING MODES OF FEW-LAYER 2H-MOSE2 MEMBRANES;"NOGAJEWSKI, KAROL; POTEMSKI, MAREK; FAUGERAS, CLEMENT";" UPS, INSA, UJF, LAB NATL CHAMPS MAGNET INTENSES,CNRS, BP 166, F-38042 GRENOBLE 9, FRANCE.;";
 ;PHYSICAL REVIEW B;TIME-RESOLVED MAGNETO-RAMAN STUDY OF CARRIER DYNAMICS IN LOW LANDAU LEVELS OF GRAPHENE;"FAUGERAS, C.;; POTEMSKI, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW B;ORIGIN OF THE ENHANCED FERROELECTRICITY IN MULTIFERROIC SMMN2O5;"ORLITA, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;ACTA PHYSICA POLONICA A;EMISSION EXCITATION SPECTROSCOPY IN WS2 MONOLAYER ENCAPSULATED IN HEXAGONAL BN;"BARTOS, M.;; POTEMSKI, M.;";" UPS, UGA, INSA, LAB NATL CHAMPS MAGNET INTENSES,CNRS,EMFL, 25 AVE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;NEW JOURNAL OF PHYSICS;MAGNETO-EXCITONS IN CU2O: THEORETICAL MODEL FROM WEAK TO HIGH MAGNETIC FIELDS;"FAUGERAS, CLEMENT; POTEMSKI, MAREK M.; P.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, F-38042 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW B;LIMITS OF VALIDITY OF THE RASHBA MODEL IN BITEI: HIGH-FIELD MAGNETO-OPTICAL STUDY;"ORLITA, M.;; SIKULA, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, 25 AVE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;NATURE PHOTONICS;SUPPRESSED AUGER SCATTERING AND TUNABLE LIGHT EMISSION OF LANDAU-QUANTIZED MASSLESS KANE ELECTRONS;"FAUGERAS, C.;; POTEMSKI, M.;; ORLITA, M.;";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
 ;2D MATERIALS;SPIN-FLIP PROCESSES AND RADIATIVE DECAY OF DARK INTRAVALLEY EXCITONS IN TRANSITION METAL DICHALCOGENIDE MONOLAYERS (VOL 3, 035009, 2016);"SLOBODENIUK, A.; O.;";" CNRS, UGA, LAB NATL CHAMPS MAGNET INTENSES, UPS,INSA,EMFL, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;LINEAR COBALT(II) DIALKYL COMPLEX WITH A NON-AUFBAU GROUND STATE AND VERY LARGE MAGNETIC ANISOTROPY;"CRASSEE, IRIS; ORLITA, MILAN";" CNRS UGA UPS INSA EMFL, LAB NATL CHAMPS MAGNET INTENSES, GRENOBLE, FRANCE.; ";
LPCV;;;;;
 ;NATURE COMMUNICATIONS;DYNAMIC CONTROL OF ENHANCER ACTIVITY DRIVES STAGE-SPECIFIC GENE EXPRESSION DURING FLOWER MORPHOGENESIS;"ENGELHORN, JULIA; CARLES, CRISTEL C.;";" UGA, CNRS, CEA, INRA,IRIG LPCV, F-38000 GRENOBLE, FRANCE.; ";
LPMMC;;;;;
 ;COMMUNICATIONS IN MATHEMATICAL PHYSICS;LOCAL INCOMPRESSIBILITY ESTIMATES FOR THE LAUGHLIN PHASE;ROUGERIE, NICOLAS;" UNIV GRENOBLE 1, UMR 5493, LPMMC, BP 166, F-38042 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL;STATIONARY, ISOTROPIC AND HOMOGENEOUS TWO-DIMENSIONAL TURBULENCE: A FIRST NON-PERTURBATIVE RENORMALIZATION GROUP APPROACH;"TARPIN, MALO; CANET, LEONIE";" CNRS, LPMMC, F-38000 GRENOBLE, FRANCE.; ";
 ;SCIPOST PHYSICS;COMPARING MANY-BODY APPROACHES AGAINST THE HELIUM ATOM EXACT SOLUTION;SCHUCK, PETER;" CNRS, LPMMC, F-38042 GRENOBLE, FRANCE.; ";
 ;EPL;VORTEX PATTERNS IN THE ALMOST-BOSONIC ANYON GAS;ROUGERIE, NICOLAS;" CNRS, LPMMC UMR 5493, BP 166, F-38042 GRENOBLE, FRANCE.;";
 ;JOURNAL OF MATHEMATICAL PHYSICS;DERIVATION OF RENORMALIZED GIBBS MEASURES FROM EQUILIBRIUM MANY-BODY QUANTUM BOSE GASES;ROUGERIE, NICOLAS;" CNRS, UMR 5493, LPMMC, BP 166, F-38042 GRENOBLE, FRANCE.;";
 ;PHYSICAL REVIEW B;ALGEBRAIC LOCALIZATION FROM POWER-LAW COUPLINGS IN DISORDERED QUANTUM WIRES;NALDESI, PIERO;" CNRS, LPMMC, F-38000 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW C;INVESTIGATION OF ISOSPIN-TRIPLET AND ISOSPIN-SINGLET PAIRING IN THE A=10 NUCLEI B-10, BE-10, AND C-10 WITH AN EXTENSION OF THE TOHSAKI-HORIUCHI-SCHUCK-ROPKE WAVE FUNCTION;SCHUCK, PETER;" CNRS, UMR 5493, LAB PHYS & MODELISAT MILIEUX CONDENSES, F-38042 GRENOBLE 9, FRANCE.; ";
LPNC;;;;;
 ;PLOS ONE;COMPUTER SIMULATIONS OF COUPLED IDIOSYNCRASIES IN SPEECH PERCEPTION AND SPEECH PRODUCTION WITH COSMO, A PERCEPTUO-MOTOR BAYESIAN MODEL OF SPEECH COMMUNICATION;"BARNAUD, MARIE-LOU; DIARD, JULIEN";" CNRS, LPNC, GRENOBLE, FRANCE.; ";
 ;JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES;AGING INFLUENCES THE EFFICIENCY OF ATTENTIONAL MAINTENANCE IN VERBAL WORKING MEMORY;"JARJAT, GABRIEL; HOT, PASCAL";" UNIV SAVOIE MT BLANC, CNRS, LPNC UMR 5105, CHAMBERY, FRANCE.; ";
 ;NEUROPSYCHOLOGIA;WHAT BILATERAL DAMAGE OF THE SUPERIOR PARIETAL LOBES TELLS US ABOUT VISUAL ATTENTION DISORDERS IN DEVELOPMENTAL DYSLEXIA;"VALDOIS, S.;; MOREAUD, O.;";" CNRS, LPNC UMR 5105, F-38040 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF NEURORADIOLOGY;ANATOMO-FUNCTIONAL STUDY OF THE CEREBELLUM IN WORKING MEMORY IN CHILDREN TREATED FOR MEDULLOBLASTOMA;COUSIN, EMILIE;" UNIV PIERRE MENDES, LAB PSYCHOL & NEUROCOGNIT, F-38000 GRENOBLE, FRANCE.; ";
 ;EXPERIMENTAL AGING RESEARCH;PROSPECTIVE MEMORY PREDICTIONS IN AGING: INCREASED OVERCONFIDENCE IN OLDER ADULTS;"MOULIN, CHRISTOPHER J.; A.;; SOUCHAY, CELINE";" UNIV GRENOBLE, LAB PSYCHOL & NEUROCOGNIT, GRENOBLE, FRANCE.; ";
LPSC;;;;;
 ;ACTA PHYSICA POLONICA B PROCEEDINGS SUPPLEMENT;EVOLUTION OF THE POSITION OF SINGLE-PARTICLE LEVELS IN NEUTRON-RICH CERIUM AND NEODYMIUM ISOTOPES;"THIAMOVA, G.;";" UNIV GRENOBLE 1, CNRS, IN2P3, LPSC,INST POLYTECH GRENOBLE, F-38026 GRENOBLE, FRANCE.;";
 ;PHYSICAL REVIEW C;LOW-LYING OCTUPOLE ISOVECTOR EXCITATION IN ND-144;"SIMPSON, G.; S.;";" UJF GRENOBLE I, LPSC, 53 AVE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW LETTERS;EXPERIMENTAL EVIDENCE FOR TRANSVERSE WOBBLING IN PD-105;"GIZON, A.;; GIZON, J.;";" UJF, CNRS, IN2P3, LPSC, F-38026 GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;RESULTS ON RADIATION TOLERANCE OF DIAMOND DETECTORS;"BES, A.;; COLLOT, J.;; DAUVERGNE, D.;; GALLIN-MARTEL, L.;; GALLIN-MARTEL, M.; -L.;; HOSTACHY, J.; -Y.;; LACOSTE, A.;; YAMOUNI, M.;";" LPSC GRENOBLE, GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;DIAMOND DETECTOR TECHNOLOGY, STATUS AND PERSPECTIVES;"BES, A.;; COLLOT, J.;; DAUVERGNE, D.;; GALLIN-MARTEL, L.;; GALLIN-MARTEL, M.; -L.;; HOSTACHY, J.; -Y.;; LACOSTE, A.;; YAMOUNI, M.;";" LPSC GRENOBLE, GRENOBLE, FRANCE.; ";
 ;PHYSICS LETTERS B;NEW ISOMERS IN PD-125(79) AND PD-127(81): COMPETING PROTON AND NEUTRON EXCITATIONS IN NEUTRON-RICH PALLADIUM NUCLIDES TOWARDS THE N=82 SHELL CLOSURE;"GEY, G.;; SIMPSON, G.; S.;";" UNIV JOSEPH FOURIER GRENOBLE 1, INST NATL POLYTECH GRENOBLE, LPSC, CNRS IN2P3, F-38026 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW C;HIGH-RESOLUTION HYPERNUCLEAR SPECTROSCOPY AT JEFFERSON LAB, HALL A;"VOUTIER, E.;";" UNIV JOSEPH FOURIER, LPSC, CNRS IN2P3, INPG, F-38026 GRENOBLE, FRANCE.;";
 ;PHYSICAL REVIEW LETTERS;PROTON SHELL EVOLUTION BELOW SN-132: FIRST MEASUREMENT OF LOW-LYING BETA-EMITTING ISOMERS IN AG-123,AG-325;"GEY, G.;; SIMPSON, G.; S.;";" UNIV JOSEPH FOURIER GRENOBLE 1, INST NATL POLYTECH GRENOBLE, CNRS, LPSC,IN2P3, F-38026 GRENOBLE, FRANCE.; ";
 ;ANNALS OF NUCLEAR ENERGY;GLOBAL AND FLEXIBLE MODELS FOR SODIUM-COOLED FAST REACTORS IN FUEL CYCLE SIMULATIONS;"BIDAUD, A.;";" UGA, GRENOBLE INP, CNRS, LPSC,IN2P3, GRENOBLE, FRANCE.; ";
 ;EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS;FCC-EE: THE LEPTON COLLIDER: FUTURE CIRCULAR COLLIDER CONCEPTUAL DESIGN REPORT VOLUME 2;"SCHIENBEIN, I.;";" LPSC, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS;DECAY PROPERTIES OF THE 3(1)(-) LEVEL IN MO-96;"DROUET, F.;; SIMPSON, G.; S.;";" UJF GRENOBLE I, LPSC, F-38026 GRENOBLE, FRANCE.; ";
 ;NUCLEAR ENGINEERING AND TECHNOLOGY;A METHODOLOGY FOR THE IDENTIFICATION OF THE POSTULATED INITIATING EVENTS OF THE MOLTEN SALT FAST REACTOR;"GERARDIN, DELPHINE; MERLE, ELSA; HEUER, DANIEL; LAUREAU, AXEL; ALLIBERT, MICHEL";" UJF, LPSC CNRS IN2P3, GRENOBLE INP, 53 RUE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS;HE-LHC: THE HIGH-ENERGY LARGE HADRON COLLIDER FUTURE CIRCULAR COLLIDER CONCEPTUAL DESIGN REPORT VOLUME 4;"SCHIENBEIN, I.;";" LAB PHYS SUBATOM & COSMOL GRENOBLE LPSC, GRENOBLE, FRANCE.; ";
 ;EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS;FCC-HH: THE HADRON COLLIDER: FUTURE CIRCULAR COLLIDER CONCEPTUAL DESIGN REPORT VOLUME 3;"SCHIENBEIN, I.;";" LAB PHYS SUBATOM & COSMOL GRENOBLE LPSC, GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW D;PROPERTIES OF Z(C)(+/-)(3900) PRODUCED IN P(P)OVER-BAR COLLISIONS;"SAJOT, G.;; STARK, J.;";" UNIV JOSEPH FOURIER GRENOBLE 1, CNRS, IN2P3, INST NATL POLYTECH GRENOBLE,LPSC, F-38026 GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;TEST RESULTS AND PROSPECTS FOR RD53A, A LARGE SCALE 65 NM CMOS CHIP FOR PIXEL READOUT AT THE HL-LHC;"DZAHINI, D.;; RARBI, F.; E.;";" LPSC, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF PHYSICS D-APPLIED PHYSICS;A STUDY OF THE RADIATION TOLERANCE OF POLY-CRYSTALLINE AND SINGLE-CRYSTALLINE CVD DIAMOND TO 800 MEV AND 24 GEV PROTONS;"BES, A.;; COLLOT, J.;; DAUVERGNE, D.;; GALLIN-MARTEL, L.;; GALLIN-MARTEL, M-L; HOSTACHY, J-Y; LACOSTE, A.;; RARBI, F.;; YAMOUNI, M.;";" LPSC GRENOBLE, GRENOBLE, FRANCE.; ";
 ;ASTRONOMY & ASTROPHYSICS;PACT I. COMBINING ACT AND PLANCK DATA FOR IMPROVED EXTRACTION OF TSZ SIGNAL;"MACIAS-PEREZ, J.;";" UNIV JOSEPH FOURIER GRENOBLE 1, LPSC, CNRS, INST NATL POLYTECH GRENOBLE,IN2P3, 53 AVE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;PHYSICAL REVIEW LETTERS;EXPERIMENTAL APPROACH TO SEARCH FOR FREE NEUTRON-ANTINEUTRON OSCILLATIONS BASED ON COHERENT NEUTRON AND ANTINEUTRON MIRROR REFLECTION;"PROTASOV, K.; V.;";" UGA, CNRS, IN2P3, LAB PHYS SUBAT & COSMOL, F-38026 GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;MEASUREMENT OF DELAYED FLUORESCENCE IN PLASTIC SCINTILLATOR FROM 1 TO 10 MU S;"DEROME, L.;; ERAUD, L.;";" UJF CNRS IN2P3 INP, LAB PHYS SUBAT & COSMOL, 53 RUE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;EUROPEAN PHYSICAL JOURNAL C;B-MESON PRODUCTION IN THE GENERAL-MASS VARIABLE-FLAVOUR-NUMBER SCHEME AND LHC DATA;SCHIENBEIN, I;" UNIV JOSEPH FOURIER GRENOBLE 1, LAB PHYS SUBATOM & COSMOL, CNRS IN2P3, INST NATL POLYTECH GRENOBLE, F-38026 GRENOBLE, FRANCE.; ";
 ;ASTROPARTICLE PHYSICS;THE ISS-CREAM SILICON CHARGE DETECTOR FOR IDENTIFICATION OF THE CHARGE OF COSMIC RAYS UP TO Z=26: DESIGN, FABRICATION AND GROUND-TEST PERFORMANCE;"DEROME, L.;; ERAUD, L.;";" UJF, CNRS IN2P3, INP, LAB PHYS SUBATOM & COSMOL, 53 RUE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;THE BORONATED SCINTILLATOR DETECTOR OF THE ISS-CREAM EXPERIMENT;"DEROME, L.;; ERAUD, L.;";" UJF, CNRS, IN2P3, LAB PHYS SUBATOM & COSMOL,INP, 53 RUE MARTYRS, F-38026 GRENOBLE, FRANCE.; ";
 ;EUROPEAN PHYSICAL JOURNAL C;FCC PHYSICS OPPORTUNITIES: FUTURE CIRCULAR COLLIDER CONCEPTUAL DESIGN REPORT VOLUME 1;"SCHIENBEIN, I.;";" LAB PHYS SUBATOM & COSMOL GRENOBLE, GRENOBLE, FRANCE.; ";
LRB;;;;;
 ;NEUROBIOLOGY OF DISEASE;TSPO AND AMYLOID DEPOSITS IN SUB-REGIONS OF THE HIPPOCAMPUS IN THE 3XTGAD MOUSE MODEL OF ALZHEIMER'S DISEASE;MOULIN-SALLANON, MARCELLE;" J FOURIER UNIV, INSERM UNIT 1039, LA TRONCHE, FRANCE.;";
