UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE
;MATERIALS RESEARCH BULLETIN;OPTICAL PROPERTIES IN THE INFRARED RANGE OF THE BIREFRINGENT ALPHA-GEO2 SINGLE CRYSTAL;"MENAERT, BERTRAND; PENA, ALEXANDRA";" INST NEEL, CNES, DEPT MATIERE CONDENSEE MAT & FONCT, 25 AVE MARTYRS,BAT F,BP 166, F-38042 GRENOBLE 09, FRANCE.;"
;PHYSICS OF THE SOLID STATE;PHOTOLUMINESCENCE OF HETEROSTRUCTURES WITH ULTRATHIN CDTE/ZNTE QUANTUM WELLS;"MARIETTE, H.;";" CNRS, INST NEEL, GRENOBLE, FRANCE.; "
;METALS;MAGNETIC AND MAGNETOCALORIC EFFECT OF LAVES PHASE COMPOUNDS ER(FE0.8-XMN0.2-YCOX+Y)(2) WITH X, Y=0.0 OR 0.1;"HAJ-KHLIFA, SONIA; DE RANGO, PATRICIA; FRUCHART, DANIEL";" INST NEEL, BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;APPLIED MATERIALS TODAY;ULTRAFINE EUTECTIC TI-FE-BASED ALLOYS PROCESSED BY ADDITIVE MANUFACTURING - A NEW CANDIDATE FOR HIGH TEMPERATURE APPLICATIONS;DA SILVA, JULIO CESAR;" CNRS, UPR2940, INST NEEL, 25 AVE MARTYRS,BP 166, F-38042 GRENOBLE, FRANCE.; "
;JOURNAL OF ALLOYS AND COMPOUNDS;MAGNETIC, MAGNETOCALORIC AND CRITICAL BEHAVIOR INVESTIGATIONS OF 0.8BIFEO(3)-0.2BATI(0.95)(YB0.5NB0.5)(0.05)O-3 MULTIFERROIC CERAMIC;"EL-KEBIR, H.;";" INST NEEL, CNRS, BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;INTERNATIONAL JOURNAL OF ENERGY RESEARCH;DEPENDENCE OF MG, BE AND AL SUBSTITUTION ON THE HYDROGEN STORAGE CHARACTERISTICS OF ZRNIH3;HLIL, EL KEBIR;" CNRS, INST NEEL, GRENOBLE, FRANCE.; "
;ADVANCED FUNCTIONAL MATERIALS;MOLECULAR QUADRUPOLE MOMENTS PROMOTE GROUND-STATE CHARGE GENERATION IN DOPED ORGANIC SEMICONDUCTORS;D'AVINO, GABRIELE;" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS;THREE-DIMENSIONAL HEISENBERG CRITICAL PHENOMENA IN LA(0.6)BI(0.1)SR(0.3-X)CA(X)MN(0.9)CU(0.1)O(3)MANGANITES (X=0 AND 0.05);"HLIL, E.; K.;";" CNRS, INST NEEL, BP 166, F-38042 GRENOBLE, FRANCE.; "
;JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;MICROWAVE RESPONSE OF COPLANAR WAVEGUIDE BASED ON ELECTRODEPOSITED COFE2O4 NANOWIRES;"DUFEU, D.;";" UGA, CNRS, INST NEEL, UPR2940, GRENOBLE 9, FRANCE.;"
;RSC ADVANCES;MAGNETIC AND SPECTROSCOPIC PROPERTIES OF NI-ZN-AL FERRITE SPINEL: FROM THE NANOSCALE TO MICROSCALE;HLIL, EL KEBIR;" UNIV J FOURIER, CNRS, INST NEEL, BP 166, F-38042 GRENOBLE, FRANCE.;"
;INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;ENHANCED THERMODYNAMIC PROPERTIES OF ZRNIH3 BY SUBSTITUTION WITH TRANSITION METALS (V, TI, FE, MN AND CR);"HLIL, E.; K.;";" CNRS, INST NEEL, BP 166, F-38042 GRENOBLE, FRANCE.; "
;PHYSICAL REVIEW LETTERS;FUNCTIONAL MONOCHALCOGENIDES: RAMAN EVIDENCE LINKING PROPERTIES, STRUCTURE, AND METAVALENT BONDING;PAWBAKE, AMIT;" MCBT, INST NEEL CNRS UGA UPR2940, 25 RUE MARTYRS BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS;THREE DIFFERENT GE ENVIRONMENTS IN A NEW SR5CUGE9O24 PHASE SYNTHESIZED AT HIGH PRESSURE AND HIGH TEMPERATURE;"KLEIN, HOLGER; KODJIKIAN, STEPHANIE; PHILIPPE, REMY; COLIN, CLAIRE, V; DARIE, CELINE; BORDET, PIERRE";" INST NEEL, CNRS, F-38042 GRENOBLE, FRANCE.; "
;PHYSICAL REVIEW LETTERS;FIRST GERMANIUM-BASED CONSTRAINTS ON SUB-MEV DARK MATTER WITH THE EDELWEISS EXPERIMENT;"BENOIT, A.;; CAMUS, P.;";" INST NEEL, CNRS UJF, 25 RUE MARTYRS,BP 166, F-38042 GRENOBLE, FRANCE.; "
;PHYSICAL REVIEW B;GIANT EXCHANGE BIAS EFFECT IN RUDDLESDEN-POPPER OXIDES SRLAFE0.25+XMN0.25CO0.5-XO4 (X=0, 0.25): ROLE OF THE CLUSTER GLASS MAGNETIC PHASE IN A QUASI-TWO-DIMENSIONAL PEROVSKITE;"DAS, RANJANA R.;; COLIN, CLAIRE, V";" CNRS, INST NEEL, 25 AVE MARTYRS,BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;EUROPEAN PHYSICAL JOURNAL PLUS;INFLUENCE OF FE DOPING ON PHYSICAL PROPERTIES OF CHARGE ORDERED PRASEODYMIUM-CALCIUM-MANGANITE MATERIAL;"CHNIBA-BOUDJADA, N.;";" INST NEEL, BP 166, F-38042 GRENOBLE 09, FRANCE.; "
;ASTRONOMY & ASTROPHYSICS;THE XXL SURVEY: XLIV. SUNYAEV-ZEL'DOVICH MAPPING OF A LOW-MASS CLUSTER AT Z SIMILAR TO 1: A MULTI-WAVELENGTH APPROACH;"BENOIT, A.;; BIDEAUD, A.;; CALVO, M.;; GOUPY, J.;; MONFARDINI, A.;";" CNRS, INST NEEL, GRENOBLE, FRANCE.; "
;JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS;MAGNETIC PROPERTIES AND IMPEDANCE SPECTROSCOPIC ANALYSIS IN PR(0.7)CA(0.3)MN(0.95)FE(0.05)O(3)PEROVSKITE CERAMIC;"CHNIBA-BOUDJADA, N.;";" INST NEEL, BP 166, F-38042 GRENOBLE 09, FRANCE.; "
;CHEMISTRY OF MATERIALS;TIME-RESOLVED IN SITU NEUTRON DIFFRACTION STUDY OF CU22FE8GE4S32 GERMANITE: A GUIDE FOR THE SYNTHESIS OF COMPLEX CHALCOGENIDES;NASSIF, VIVIAN;" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;APPLIED SURFACE SCIENCE;LATTICE PERFORMANCE DURING INITIAL STEPS OF THE SMART-CUT (TM) PROCESS IN SEMICONDUCTING DIAMOND: A STEM STUDY;"PERNOT, J.;";" INST NEEL, CNRS UJF, AV MARTYRS, F-38042 GRENOBLE, FRANCE.;"
;JOURNAL OF OPTICS;BOOSTING SPATIAL RESOLUTION BY INCORPORATING PERIODIC BOUNDARY CONDITIONS INTO SINGLE-DISTANCE HARD-X-RAY PHASE RETRIEVAL;"DA SILVA, JULIO C.;";" UGA, CNRS, NEEL INST, F-38042 GRENOBLE, FRANCE.; "
;MATERIALS HORIZONS;CHARGE TRANSFER EXCITONS IN A DONOR-ACCEPTOR AMPHIDYNAMIC CRYSTAL: THE ROLE OF DIPOLE ORIENTATIONAL ORDER;"COMIN, MASSIMILIANO; D'AVINO, GABRIELE";" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;IEEE TRANSACTIONS ON ELECTRON DEVICES;PERFORMANCE AND LOW-FREQUENCY NOISE OF 22-NM FDSOI DOWN TO 4.2 K FOR CRYOGENIC APPLICATIONS;MEUNIER, TRISTAN;" INST NEEL, F-38042 GRENOBLE, FRANCE.;"
;IEEE TRANSACTIONS ON ELECTRON DEVICES;OUT-OF-EQUILIBRIUM BODY POTENTIAL MEASUREMENT ON SILICON-ON-INSULATOR WITH DEPOSITED METAL CONTACTS;DELACOUR, CECILE;" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;OPTICAL SIGNATURES OF MULTIFOLD FERMIONS IN THE CHIRAL TOPOLOGICAL SEMIMETAL COSI;"SANCHEZ-MARTINEZ, MIGUEL-ANGEL; GRUSHIN, ADOLFO G.;";" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;APPLIED PHYSICS LETTERS;ACCURATE CHARACTERIZATION OF TIP-INDUCED POTENTIAL USING ELECTRON INTERFEROMETRY;"BACHELIER, G.;";" CNRS, INST NEEL, F-38042 GRENOBLE, FRANCE.; "
;JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;STRUCTURE, MAGNETIC AND FIELD DEPENDENCE OF MAGNETOCALORIC PROPERTIES OF PR0.5RE0.1SR0.4MNO3 (RE = EU AND ER);"CHNIBA-BOUDJADA, N.;";" INST NEEL, BP 166, F-38042 GRENOBLE 09, FRANCE.;"
;APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;EXPERIMENTAL AND FIRST-PRINCIPLES STUDY OF THE ORIGIN OF THE MAGNETIC PROPERTIES OF COFE2O4 SPINEL FERRITE;"HLIL, E.; K.;";" CNRS, INST NEEL, BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;APPLIED PHYSICS LETTERS;PRECISION MEASUREMENTS OF ELECTRIC-FIELD-INDUCED FREQUENCY DISPLACEMENTS OF AN ULTRANARROW OPTICAL TRANSITION IN IONS IN A SOLID;"GALLAND, N.;; SEIDELIN, S.;";" INST NEEL, F-38000 GRENOBLE, FRANCE.; "
;PHYSICAL REVIEW A;TIME-DEPENDENT ELECTRONIC CURRENT DENSITIES IN CHIRAL MOLECULES;DUDZINSKI, ALEXANDRA MAXI;" CNRS, INST NEEL, UGA UPR2940, 25 RUE MARTYRS BP 166, F-38042 GRENOBLE 9, FRANCE.; "
;ASTRONOMY & ASTROPHYSICS;EXPLOITING NIKA2/XMM-NEWTON IMAGING SYNERGY FOR INTERMEDIATE-MASS HIGH-Z GALAXY CLUSTERS WITHIN THE NIKA2 SZ LARGE PROGRAM OBSERVATIONS OF ACT-CL J0215.4+0030 AT Z SIMILAR TO 0.9;"BENOIT, A.;; CALVO, M.;; GOUPY, J.;; MONFARDINI, A.;";" CNRS, INST NEEL, GRENOBLE, FRANCE.; "
;ANALYTIC PHILOSOPHY;INDETERMINACY: DEEP BUT NOT ROCK BOTTOM;MARIANI, CRISTIAN;" CNRS, INST NEEL, GRENOBLE, FRANCE.; "
;INORGANIC CHEMISTRY;SELECTIVE COORDINATION OF SELF-ASSEMBLED HEXANUCLEAR [NI(4)LN(2)] AND [NI(2)MN(2)LN(2)] (LN = DY-III, TIAI(III), AND HO-III) COMPLEXES: STEPWISE SYNTHESIS, STRUCTURES, AND MAGNETIC PROPERTIES;WERNSDORFER, WOLFGANG;" CTR NATL RECH SCI, INST NEEL, F-38042 GRENOBLE, FRANCE.;"
;SOLID STATE SCIENCES;IMPACT OF B -SITE DOPING ON MAGNETIC AND MAGNETOCALORIC EFFECT OF PR 0.75 BI 0.05 SR 0.1 BA 0.1 MN 1-X TI X O 3 (0X0.04) MANGANITES;"CHNIBA-BOUDJADA, N.;";" INST NEEL, BP 166, F-38042 GRENOBLE 9, FRANCE.;"
;JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;ORIGIN OF THE METAMAGNETIC TRANSITIONS IN Y 1? X ER X FE 2 (H,D) 4.2 COMPOUNDS;"ISNARD, O.;";" CNRS, INST NEEL, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; "
IPAG;;;;
;ASTRONOMICAL JOURNAL;ROTATION OF LOW-MASS STARS IN TAURUS WITH K2;"BOUVIER, J.;; ROGGERO, N.;";" UNIV GRENOBLE, INST PLANETOL & ASTROPHYS GRENOBLE IPAG, F-38000 GRENOBLE, FRANCE.; "
;ASTRONOMICAL JOURNAL;ROTATION OF LOW-MASS STARS IN TAURUS WITH K2;"BOUVIER, J.;; ROGGERO, N.;";" IPAG, CNRS, F-38000 GRENOBLE, FRANCE.; "
;ASTROPHYSICAL JOURNAL;EFFICIENT METHANOL PRODUCTION ON THE DARK SIDE OF A PRESTELLAR CORE;"FAURE, ALEXANDRE; HILY-BLANT, PIERRE; RIST, CLAIRE";" CNRS, IPAG, F-38000 GRENOBLE, FRANCE.; "
;JOURNAL OF SPACE WEATHER AND SPACE CLIMATE;ON THE NIGHTGLOW POLARISATION FOR SPACE WEATHER EXPLORATION;"BOSSE, LEO; LILENSTEN, JEAN; ROCHAT, SYLVAIN; DELBOULBE, ALAIN; CURABA, STEPHANE; ROUX, ALAIN; MAGNARD, YVES; NABON, MAXIME";" CNRS, UGA, INST PLANETOL & ASTROPHYS GRENOBLE IPAG, GRENOBLE, FRANCE.; "
;EXPERIMENTAL ASTRONOMY;THE CHEOPS MISSION;"BONFILS, X.;";" UNIV GRENOBLE, INST PLANETOL & ASTROPHYS, GRENOBLE, FRANCE.; "
ISTERRE;;;;
;SCIENTIFIC REPORTS;NANOSCALE 3D QUANTITATIVE IMAGING OF 1.88 GA GUNFLINT MICROFOSSILS REVEALS NOVEL INSIGHTS INTO TAPHONOMIC AND BIOGENIC CHARACTERS;"MALDANIS, L.;";" UGA, CNRS, ISTERRE, OBSERV SCI UNIVERS, CS 40700, F-38058 GRENOBLE, FRANCE.; "
;FRONTIERS IN EARTH SCIENCE;ACTIVE TECTONICS AND EARTHQUAKE GEOLOGY ALONG THE PALLATANGA FAULT, CENTRAL ANDES OF ECUADOR;AUDIN, LAURENCE;" UNIV GRENOBLE, IRD CNRS OSUG, ISTERRE, ST MARTIN DHERES, FRANCE.; "
;SCIENTIFIC REPORTS;THE 2020 CORONAVIRUS LOCKDOWN AND SEISMIC MONITORING OF ANTHROPIC ACTIVITIES IN NORTHERN ITALY;POLI, PIERO;" UNIV GRENOBLE, ISTERRE, GRENOBLE, FRANCE.; "
;LITHOS;DIFFERENTIAL PLATINUM GROUP ELEMENTS (PGE) RE-MOBILIZATION AT LOW FS(2) IN ABDASHT AND SOGHAN MAFIC-ULTRAMAFIC COMPLEXES (SOUTHERN IRAN);ESLAMI, ALIREZA;" UNIV GRENOBLE 1, CNRS, MAISON GEOSCI, ISTERRE, GRENOBLE, FRANCE.; "
;QUATERNARY SCIENCE REVIEWS;GLACIAL OVERDEEPENINGS IN THE SWISS ALPS AND FORELAND: SPATIAL DISTRIBUTION AND MORPHOMETRICS;"VALLA, PIERRE G.;";" UNIV GRENOBLE ALPS, UNIV SAVOIE MT BLANC, INST EARTH SCI ISTERRE, IFSTAR,CNRS,IRD, F-38000 GRENOBLE, FRANCE.;"
;MATERIALS LETTERS;SYNTHESIS OF MAGNETITE, CERIA AND MAGNETITE-CERIA MATERIALS BY CALCINATION OF NANOSTRUCTURED PRECURSOR-MINERALS;MONTES-HERNANDEZ, GERMAN;" UGA, USMB, CNRS, IRD,IFSTTAR,ISTERRE, F-38000 GRENOBLE, FRANCE.;"
;ACTA GEOLOGICA SINICA-ENGLISH EDITION;METALLOGENY OF SERPENTINITE-HOSTED MAGNETITE DEPOSITS: HYDROTHERMAL OVERGROWTH ON CHROMITE OR METAMORPHIC TRANSFORMATION OF CHROMITE?;ESLAMI, ALIREZA;" UNIV GRENOBLE ALPS, CNRS, MAISON GEOSCI, ISTERRE, F-38041 GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF MINERALOGY;CORONA FORMATION AROUND MONAZITE AND XENOTIME DURING GREENSCHIST-FACIES METAMORPHISM AND DEFORMATION;"JANOTS, EMILIE; MAGNIN, VALERIE";" UNIV GRENOBLE 1, ISTERRE, GRENOBLE, FRANCE.; "
;EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES;THROMBOELASTOGRAPHY CLOT STRENGTH PROFILES AND EFFECT OF SYSTEMIC ANTICOAGULATION IN COVID-19 ACUTE RESPIRATORY DISTRESS SYNDROME: A PROSPECTIVE, OBSERVATIONAL STUDY;"ROSENKRANZ, R.;";" GRENOBLE UNIV, INST SCI TERRE, ISTERRE, GIERES, FRANCE.; "
;JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE;SEEPAGE EROSION IN THE LUQUILLO MOUNTAINS, PUERTO RICO, RELICT LANDSCAPES;"BROCARD, G.; Y.;";" UNIV GRENOBLE, INST SCI TERRE, OBSERV SCI UNIVERS, GRENOBLE, FRANCE.; "
LAMA;;;;
;JOURNAL OF MATHEMATICAL IMAGING AND VISION;AN OPTIMIZED FRAMEWORK FOR PLANE-PROBING ALGORITHMS;MEYRON, JOCELYN;" UNIV SAVOIE MONT BLANC, CNRS, LAMA, UMR 5127, F-73000 CHAMBERY, FRANCE.; "
LAPP;;;;
;ASTRONOMY & ASTROPHYSICS;K-STACKER: AN ALGORITHM TO HACK THE ORBITAL PARAMETERS OF PLANETS HIDDEN IN HIGH-CONTRAST IMAGING: FIRST APPLICATIONS TO VLT/SPHERE MULTI-EPOCH OBSERVATIONS;"ESTEVEZ, D.;";" LAPP UMR5814, 9 CHEMIN BELLEVUE BP 110, F-74941 ANNECY, FRANCE.; "
;ASTRONOMY & ASTROPHYSICS;THE XXL SURVEY: XLIV. SUNYAEV-ZEL'DOVICH MAPPING OF A LOW-MASS CLUSTER AT Z SIMILAR TO 1: A MULTI-WAVELENGTH APPROACH;"RICCI, M.;; BOUTIGNY, D.;";" UNIV SAVOIE MT BLANC, LAB ANNECY PHYS PARTICULES, CNRS, IN2P3, F-74941 ANNECY, FRANCE.; "
;EUROPEAN PHYSICAL JOURNAL C;LONG-BASELINE NEUTRINO OSCILLATION PHYSICS POTENTIAL OF THE DUNE EXPERIMENT: DUNE COLLABORATION;"DE BONIS, I.;; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, LAB ANNECY LE VIEUX PHYS PARTICULES, IN2P3, F-74941 ANNECY LE VIEUX, FRANCE.; "
;PHYSICAL REVIEW D;NEUTRINO INTERACTION CLASSIFICATION WITH A CONVOLUTIONAL NEURAL NETWORK IN THE DUNE FAR DETECTOR;"DE BONIS, I.;; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, IN2P3, LAB ANNECY LE VIEUX PHYS PARTICULES, F-74941 ANNECY LE VIEUX, FRANCE.; "
;JOURNAL OF INSTRUMENTATION;FIRST RESULTS ON PROTODUNE-SP LIQUID ARGON TIME PROJECTION CHAMBER PERFORMANCE FROM A BEAM TEST AT THE CERN NEUTRINO PLATFORM;"DE BONIS, I; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, LAB ANNECY LE VIEUX PHYS PARTICULES, IN2P3, F-74941 ANNECY LE VIEUX, FRANCE.; "
;JOURNAL OF INSTRUMENTATION;EXECUTIVE SUMMARY;"DE BONIS, I.;; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, IN2P3, LAB ANNECY LE VIEUX PHYS PARTICULES, F-74941 ANNECY LE VIEUX, FRANCE.; "
;JOURNAL OF INSTRUMENTATION;EXECUTIVE SUMMARY;"DE BONIS, I.;; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, LAB ANNECY LE VIEUX PHYS PARTICULES, IN2P3, F-74941 ANNECY LE VIEUX, FRANCE.; "
;JOURNAL OF INSTRUMENTATION;EXECUTIVE SUMMARY;"DE BONIS, I.;; DUCHESNEAU, D.;; KARYOTAKIS, Y.;; ZAMBELLI, L.;";" CNRS, LAB ANNECY VIEUX PHYS PARTICULES, IN2P3, F-74941 ANNECY LE VIEUX, FRANCE.; "
LAPTH;;;;
;ASTRONOMY & ASTROPHYSICS;GALACTIC HALO SIZE IN THE LIGHT OF RECENT AMS-02 DATA;"SALATI, P.;; SERPICO, P.;";" UNIV SAVOIE MT BLANC, LAPTH, F-74941 ANNECY, FRANCE.; "
;SCIPOST PHYSICS;REINTERPRETATION OF LHC RESULTS FOR NEW PHYSICS: STATUS AND RECOMMENDATIONS AFTER RUN 2;GUADAGNOLI, DIEGO;" USMB, CNRS, LAPTH, F-74941 ANNECY LE VIEUX, FRANCE.; "
LBFA;;;;
;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;IMPROVED HUMAN ISLETS' VIABILITY AND FUNCTIONALITY WITH MESENCHYMAL STEM CELLS AND ARG-GLY-ASP TRIPEPTIDES SUPPLEMENTATION OF ALGINATE MICRO-ENCAPSULATED ISLETS IN VITRO;"LAPORTE, CAMILLE; TUBBS, EMILY; LAMARCHE, FREDERIC; COTTET-ROUSSELLE, CECILE; LABLANCHE, SANDRINE; RIVERA, FLORENCE";" UNIV GRENOBLE ALPS, LAB FUNDAMENTAL & APPL BIOENERGET LBFA, INSERM, U1055, GRENOBLE, FRANCE.; "
;JOVE-JOURNAL OF VISUALIZED EXPERIMENTS;DETERGENT-FREE DECELLULARIZATION OF THE HUMAN PANCREAS FOR SOLUBLE EXTRACELLULAR MATRIX (ECM) PRODUCTION;"LABLANCHE, SANDRINE; TUBBS, EMILY";" GRENOBLE ALPS UNIV, LAB FUNDAMENTAL & APPL BIOENERGET LBFA & ENVIRONM, GRENOBLE, FRANCE.; "
;INTERNATIONAL JOURNAL OF CLINICAL PHARMACY;EVALUATION OF A COLLABORATIVE CARE PROGRAM FOR PULMONARY HYPERTENSION PATIENTS: A MULTICENTER RANDOMIZED TRIAL;PISON, CHRISTOPHE;" INSERM, FUNDAMENTAL & APPL BIOENERGET LAB, U1055, F-38000 GRENOBLE, FRANCE.; "
;FRONTIERS IN ONCOLOGY;IMPAIRMENT OF BASE EXCISION REPAIR IN DERMAL FIBROBLASTS ISOLATED FROM NEVOID BASAL CELL CARCINOMA PATIENTS;"BOURGOIN-VOILLARD, SANDRINE; SEVE, MICHEL";" INSERM, U1055, PROMETHEE PROTE PLATFORM, ST MARTIN DHERES, FRANCE.; "
;TRANSPLANT INTERNATIONAL;PANCREAS COLLAGEN DIGESTION DURING ISLET OF LANGERHANS ISOLATION-A PROSPECTIVE STUDY;LABLANCHE, SANDRINE;" INSERM U1055, LAB FUNDAMENTAL & APPL BIOENERGET GRENOBLE, GRENOBLE, FRANCE.; "
;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;IDENTIFICATION, CHARACTERIZATION AND SYNTHESIS OF WALTEROSPERMIN, A SPERM MOTILITY ACTIVATOR FROM THE EGYPTIAN BLACK SNAKE WALTERINNESIA AEGYPTIA VENOM;"BOURGOIN-VOILLARD, SANDRINE; MICHELLAND, SYLVIE; SEVE, MICHEL";" INSERM U1055, PROMETHEE PROTE PLATFORM, F-38041 GRENOBLE, FRANCE.; "
;JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY;GENERALIZED VERRUCOSIS REVEALING A LIFE-THREATENING AND UNLABELED T-CELL LYMPHOPENIA ASSOCIATED WITH AUTOIMMUNE HEMOLYTIC ANEMIA: A CASE REPORT AND REVIEW OF LITERATURE;RUBIO, AMANDINE;" INSERM, U1055, LAB FUNDAMENTAL & APPL BIOENERGET, GRENOBLE, FRANCE.; "
;REVUE DES MALADIES RESPIRATOIRES;GROWING ROLE OF PATIENTS IN FRENCH HEALTH DEMOCRACY;"MERLE, R.;; PISON, C.;";" INSERM 1055, LAB BIOENERGET FONDAMENTALE & APPL, ST MARTIN DHERES, FRANCE.; "
;AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM;ROLE OF CREATINE AND CREATINE KINASE IN UCP1-INDEPENDENT ADIPOCYTE THERMOGENESIS;"TOKARSKA-SCHLATTNER, MALGORZATA; KAY, LAURENCE; SCHLATTNER, UWE";" INSERM U1055, LAB FUNDAMENTAL & APPL BIOENERGET & SFR ENVIRONM, GRENOBLE, FRANCE.; "
LCBM;;;;
;CLINICAL OTOLARYNGOLOGY;VASCULAR ENDOTHELIAL GROWTH FACTOR (VEGF) AND ENDOCRINE GLAND-VEGF (EG-VEGF) ARE DOWN REGULATED IN HEAD AND NECK CANCER;BENHAROUGA, MOHAMED;" CTR NATL RECH SCI CNRS, LAB CHIM & BIOL METAUX LCBM, UMR 5249, GRENOBLE, FRANCE.;"
;JOURNAL OF MOLECULAR MODELING;THEORETICAL CHARACTERIZATION OF THE SHIKIMATE 5-DEHYDROGENASE REACTION FROMMYCOBACTERIUM TUBERCULOSISBY HYBRID QC/MM SIMULATIONS AND QUANTUM CHEMICAL DESCRIPTORS;"FIELD, MARTIN J.;";" UNIV GRENOBLE 1, CNRS, UMR5249, LAB CHIM & BIOL METAUX,CEA, 17 AVE MARTYRS, F-38054 GRENOBLE 9, FRANCE.; "
;FRONTIERS IN PHYSIOLOGY;THE EMERGING ROLE OF THE PROKINETICINS AND HOMEOBOX GENES IN THE VASCULARIZATION OF THE PLACENTA: PHYSIOLOGICAL AND PATHOLOGICAL ASPECTS;BENHAROUGA, MOHAMED;" CNRS, UMR 5249, LAB CHIM & BIOL METAUX, GRENOBLE, FRANCE.; "
LCIS;;;;
LECA;;;;
;TRENDS IN ECOLOGY & EVOLUTION;PROTECTING BIODIVERSITY (IN ALL ITS COMPLEXITY): NEW MODELS AND METHODS;"POLLOCK, LAURA J.;; O'CONNOR, LOUISE M.; J.;; THUILLER, WILFRIED";" UNIV SAVOIE MT BLANC, CNRS, LAB ECOL ALPINE LECA, F-38000 GRENOBLE, FRANCE.; "
LEGI;;;;
;PHYSICS OF FLUIDS;EXTREME SINGULAR EVENTS ASSOCIATED WITH INERTIAL-VISCOUS CUSP FORMATION IN FLUIDS;"HOPFINGER, E.; J.;";" UGA, CNRS, LEGI, F-38052 GRENOBLE, FRANCE.;"
;JOURNAL OF FLUID MECHANICS;ROUGHNESS EFFECT IN AN INITIALLY LAMINAR CHANNEL FLOW;"TARDU, S.;";" UNIV GRENOBLE, ALPES DOMAINE UNIV, LEGI, CS 40700, F-38058 GRENOBLE 9, FRANCE.;"
;BOUNDARY-LAYER METEOROLOGY;BUOYANCY EFFECTS IN THE TURBULENCE KINETIC ENERGY BUDGET AND REYNOLDS STRESS BUDGET FOR A KATABATIC JET OVER A STEEP ALPINE SLOPE;"CHARRONDIERE, CLAUDINE; BRUN, CHRISTOPHE; BLEIN, SEBASTIEN";" LAB ECOULEMENTS GEOPHYS & IND LEGI, GRENOBLE, FRANCE.; "
;ELECTRIC POWER SYSTEMS RESEARCH;MARKOV SWITCHING AUTOREGRESSIVE MODELING OF WIND POWER FORECAST ERRORS;"LE BOUEDEC, E.;";" UNIV GRENOBLE, LEGI, GRENOBLE, FRANCE.; "
;PHYSICAL REVIEW FLUIDS;CONDITIONS OF INERTIAL-VISCOUS TRANSITION AND RELATED JETTING IN LARGE CAVITY COLLAPSE;"HOPFINGER, E.; J.;";" UGA, CNRS, LEGI, F-38058 GRENOBLE 9, FRANCE.;"
LEPMI;;;;
;ELECTROCHIMICA ACTA;OPENING THE DOOR TO LIQUID-FREE POLYMER ELECTROLYTES FOR CALCIUM BATTERIES;SANCHEZ, J-Y;" GRENOBLE INP, UMRCNRS5279, LEPMI, UJF UDS, 1130 RUE PISCINE,BP75, F-38402 ST MARTIN DHERES, FRANCE.;"
;APPLIED CATALYSIS B-ENVIRONMENTAL;K- AND CU-DOPED CATIO3-BASED NANOSTRUCTURED HOLLOW SPHERES AS ALTERNATIVE CATALYSTS TO PRODUCE FATTY ACID ETHYL ESTERS AS POTENTIAL BIODIESEL;"DJURADO, E.;";" LEPMI, CNRS, F-38000 GRENOBLE, FRANCE.; "
